Country,Happiness Score,GDP Per Capita,Social Support,Healthy Life Expectancy,Freedom,Generosity,Corruption,Dystopia
Albania,5.277,9.567,0.718,69.150,0.794,-0.007,0.878,1.678
Indonesia,5.277,9.385,0.804,63.048,0.880,0.531,0.876,1.288
South Africa,5.275,9.478,0.907,56.989,0.730,-0.087,0.902,1.708
Congo (Brazzaville),5.267,8.095,0.605,56.850,0.730,-0.004,0.739,2.802
North Macedonia,5.254,9.703,0.805,66.500,0.769,0.131,0.902,1.435
Venezuela,5.211,5.527,0.839,64.050,0.659,0.128,0.811,2.955
Laos,5.111,8.962,0.679,60.946,0.919,0.091,0.703,1.707
Georgia,5.109,9.646,0.716,64.950,0.786,-0.254,0.649,1.580
Guinea,5.072,7.880,0.649,54.185,0.659,0.125,0.787,2.705
Ukraine,5.071,9.314,0.878,64.550,0.795,0.240,0.907,1.172
Ivory Coast,5.053,8.576,0.572,55.953,0.733,0.003,0.746,2.519
Gabon,5.035,9.537,0.746,58.252,0.642,-0.187,0.786,1.908
Nigeria,4.981,8.496,0.740,54.891,0.718,0.073,0.911,2.181
Cameroon,4.973,8.217,0.686,55.847,0.686,0.015,0.846,2.411
Mozambique,4.954,7.116,0.692,51.530,0.851,0.047,0.660,2.519
Iraq,4.941,9.098,0.718,63.415,0.646,-0.005,0.876,1.861
State of Palestine,4.908,8.716,0.859,,0.694,-0.132,0.836,
Morocco,4.903,8.973,0.553,63.901,0.787,-0.231,0.811,2.158
Iran,4.876,9.610,0.778,66.600,0.593,0.173,0.747,1.259
Senegal,4.855,8.155,0.629,59.999,0.772,0.011,0.846,2.234
Mauritania,4.724,8.591,0.644,60.475,0.622,-0.013,0.657,1.973
Burkina Faso,4.638,7.667,0.663,55.461,0.696,0.095,0.771,2.230
Namibia,4.631,9.121,0.787,56.851,0.669,-0.126,0.830,1.549
Turkiye,4.614,10.307,0.796,68.663,0.475,-0.077,0.795,0.969
Ghana,4.605,8.596,0.641,58.763,0.777,0.139,0.881,1.779
Pakistan,4.555,8.540,0.601,57.313,0.766,0.008,0.787,1.907
Niger,4.501,7.091,0.590,56.550,0.788,0.032,0.734,2.341
Tunisia,4.497,9.244,0.730,67.000,0.576,-0.213,0.907,1.463
Kenya,4.487,8.458,0.690,58.499,0.696,0.288,0.852,1.601
Sri Lanka,4.442,9.491,0.826,67.150,0.787,-0.030,0.808,0.625
Uganda,4.432,7.716,0.794,58.913,0.701,0.114,0.857,1.628
Chad,4.397,7.261,0.722,53.125,0.677,0.221,0.807,2.034
Cambodia,4.393,8.385,0.747,61.900,0.958,0.073,0.857,1.068
Benin,4.374,8.103,0.437,56.095,0.743,-0.043,0.576,2.235
Myanmar,4.372,8.404,0.787,61.388,0.727,0.491,0.658,0.893
Bangladesh,4.282,8.685,0.544,64.548,0.845,0.005,0.698,1.361
Gambia,4.279,7.648,0.584,57.900,0.596,0.364,0.883,2.081
Mali,4.198,7.655,0.593,55.403,0.713,-0.028,0.846,2.070
Egypt,4.170,9.367,0.726,63.503,0.732,-0.183,0.580,0.740
Togo,4.137,7.673,0.595,57.449,0.657,0.024,0.740,1.913
Jordan,4.120,9.130,0.729,67.600,0.770,-0.150,0.687,0.663
Ethiopia,4.091,7.739,0.782,60.698,0.720,0.273,0.789,1.099
Liberia,4.042,7.277,0.596,56.700,0.735,0.154,0.830,1.869
India,4.036,8.759,0.608,60.777,0.897,0.072,0.774,0.979
Madagascar,4.019,7.290,0.650,58.050,0.522,0.075,0.742,1.932
Zambia,3.982,8.074,0.694,55.032,0.791,0.098,0.818,1.270
Tanzania,3.694,7.857,0.653,59.401,0.838,0.182,0.554,0.747
Comoros,3.545,8.075,0.471,59.425,0.470,-0.014,0.727,1.699
Malawi,3.495,7.302,0.531,58.475,0.750,0.005,0.749,1.432
Botswana,3.435,9.629,0.753,54.725,0.742,-0.215,0.830,0.264
Congo (Kinshasa),3.207,7.007,0.652,55.375,0.664,0.086,0.834,1.162
Zimbabwe,3.204,7.641,0.690,54.050,0.654,-0.046,0.766,0.905
Sierra Leone,3.138,7.394,0.555,54.900,0.660,0.105,0.858,1.221
Lebanon,2.392,9.478,0.530,66.149,0.474,-0.141,0.891,-0.110
Afghanistan,1.859,7.324,0.341,54.712,0.382,-0.081,0.847,0.976
